i,name,pre,post,ratio,p,gap_pre,gap_post,n_pos,val,fit_ratio,credible,outcome
508,Mozambique,0.8744093909014231,0.7481410274685399,0.8555958287425139,0.8807339449541285,-0.04556949949253986,-0.04463176850210436,6,111626.125,2.089578489718375,False,"C. log US exports, decoupling sectors"
524,Nepal,0.2771969503652445,0.8098614199267804,2.921610136257554,0.26605504587155965,0.11379071047560077,-0.7447907314121218,4,93132.6015625,0.6624183030578249,True,"C. log US exports, decoupling sectors"
566,Nigeria,1.5434003896509836,1.001542150730393,0.6489192029793879,0.9724770642201835,0.004765596247653259,-0.9558619623925095,5,399434.15625,3.6882680913490233,False,"C. log US exports, decoupling sectors"
586,Pakistan,0.25081503455311366,0.4659589280053458,1.8577790954021631,0.5779816513761468,0.23963101007056717,0.44438136812158924,2,3743190.75,0.5993733673878643,True,"C. log US exports, decoupling sectors"
604,Peru,0.20011345556568813,0.1313502118317221,0.6563787100693277,0.963302752293578,0.0026638682039558407,-0.004981969350966509,12,4102768.0,0.47821166675966814,True,"C. log US exports, decoupling sectors"
608,Philippines,0.3410419444862463,0.27701584044092525,0.8122632565276641,0.8990825688073395,0.32122088966969464,0.15953539328506597,2,10618337.0,0.8149888584288175,True,"C. log US exports, decoupling sectors"
616,Poland,0.16662310967705338,0.4198311980827418,2.5196456775800957,0.3486238532110092,0.056455554287988624,0.38260792183732256,6,6052428.0,0.3981796964831633,True,"C. log US exports, decoupling sectors"
634,Qatar,0.43559598021290996,1.0637856664110141,2.442138391385197,0.3669724770642202,-0.032441007162249284,0.9459863115575251,7,733645.0,1.040944893698312,True,"C. log US exports, decoupling sectors"
642,Romania,0.18864974530342238,0.398908495965873,2.114545637600902,0.48623853211009177,0.03121344912454337,0.3240741614711555,7,2028950.0,0.45081680729721435,True,"C. log US exports, decoupling sectors"
643,Russia,0.14093547723675534,0.6645772573900333,4.715471720960792,0.1559633027522936,0.0012901550299912014,-0.1474726549077245,13,7965560.5,0.3367938916672931,True,"C. log US exports, decoupling sectors"
682,Saudi Arabia,0.11117455979949376,0.28961952228113436,2.6050880957250544,0.3486238532110092,0.005485078215229225,0.23645481614792146,10,1478579.625,0.26567414666195033,True,"C. log US exports, decoupling sectors"
688,Serbia,0.30595957570681487,1.397414278378386,4.5673166958417255,0.1559633027522936,-0.012422209830020847,1.339285286834075,7,302450.90625,0.7311524267382848,True,"C. log US exports, decoupling sectors"
699,India,1.1091226502814113,0.9200531145952648,0.8295323464558452,0.8990825688073395,1.1023479808460583,0.9067626680646624,1,44272352.0,2.6504734013644056,False,"C. log US exports, decoupling sectors"
704,Vietnam,1.7287488339694959,2.2383916481207136,1.294804429733724,0.7064220183486238,1.6747094067660244,2.2374729428972517,1,42132400.0,4.131195770741238,False,"C. log US exports, decoupling sectors"
710,South Africa,0.09178505529971703,0.21018559336370995,2.2899762132012134,0.44036697247706424,-0.00010649322339711438,0.1372772632104959,14,6633166.0,0.21933899524361583,True,"C. log US exports, decoupling sectors"
764,Thailand,1.4074966264695572,1.1042844216081575,0.7845734056059864,0.908256880733945,1.4050215807828037,1.0981381280081612,1,30043534.0,3.3634985003878217,False,"C. log US exports, decoupling sectors"
784,UAE,0.1650292975884688,0.5083050559868252,3.080089798687614,0.22935779816513763,0.017280897807168894,0.4309179400329697,10,2599731.0,0.39437095941833583,True,"C. log US exports, decoupling sectors"
788,Tunisia,0.10393625258730844,0.25687949162340107,2.4715100384018305,0.3577981651376147,0.0026422198880639318,-0.014872012035019009,13,400593.125,0.24837674431250445,True,"C. log US exports, decoupling sectors"
792,Turkiye,0.12287523428970255,0.4690905033958561,3.8176163496859172,0.1743119266055046,0.027242988194823233,0.45671690794393044,8,8030557.5,0.29363528018172186,True,"C. log US exports, decoupling sectors"
804,Ukraine,0.08893393646462502,0.6321863947328206,7.108494460765081,0.08256880733944955,-0.0013955395795697066,0.5797018827437024,14,670192.0,0.2125256688413256,True,"C. log US exports, decoupling sectors"
818,Egypt,0.1065834103650894,0.10120007232652233,0.9494917828194175,0.8623853211009175,-0.0012151434394844784,0.07544212474206421,14,1457169.125,0.25470266442372314,True,"C. log US exports, decoupling sectors"
