measure,spec,term,N,treated_obs,sd,tol,coef,se,p
share_n_sub,without,IPxUS_chn,16886001,847,0.0037986398674547672,1e-06,-0.7406290040704462,0.20194533462906722,0.00024495968317284067
share_n_sub,without,Dec_US_chn,16886001,847,0.0037986398674547672,1e-06,-0.29508265661476696,0.07968475640471409,0.00021295943033150522
share_n_sub,without,Adv_Dec_US,16886001,847,0.0037986398674547672,1e-06,-0.14981762589395978,0.06904981201020813,0.0300293069492914
share_frac_policies,with,DDD_dev,16886001,8858,0.001719702617265284,1e-06,0.05238718794003594,0.01676003060024434,0.0017736944102386687
share_frac_policies,with,DDD_adv,16886001,8858,0.001719702617265284,1e-06,0.00887072112952211,0.012684641270658197,0.48434725373627163
share_frac_policies,with,IPxUS_dev,16886001,8858,0.001719702617265284,1e-06,-0.037600996146892024,0.018618020879528293,0.043424665557856956
share_frac_policies,with,IPxUS_adv,16886001,8858,0.001719702617265284,1e-06,-0.0038442449895851835,0.010873513761080512,0.7236820657346588
share_frac_policies,with,IPxUS_chn,16886001,8858,0.001719702617265284,1e-06,-0.15629301338190574,0.06240772687542626,0.012266426183757506
share_frac_policies,with,Dec_US_chn,16886001,8858,0.001719702617265284,1e-06,-0.3004026007639818,0.0913877932417915,0.0010121785790264681
share_frac_policies,with,Adv_Dec_US,16886001,8858,0.001719702617265284,1e-06,-0.1259812961358825,0.06997486786808278,0.07180078397673717
share_frac_policies,without,DDD_dev,16886001,8858,0.001719702617265284,1e-06,0.015034927643013144,0.012848120166230879,0.24191869462499271
share_frac_policies,without,DDD_adv,16886001,8858,0.001719702617265284,1e-06,0.005031430414840867,0.007414166215709557,0.4973761935257828
share_frac_policies,without,IPxUS_chn,16886001,8858,0.001719702617265284,1e-06,-0.15465134033789815,0.06204254876917722,0.01267881154575723
share_frac_policies,without,Dec_US_chn,16886001,8858,0.001719702617265284,1e-06,-0.31247200701113187,0.09108946569902511,0.0006027236850565387
share_frac_policies,without,Adv_Dec_US,16886001,8858,0.001719702617265284,1e-06,-0.13756212868225945,0.06913095859433925,0.04660444801749142
share_frac_sub,with,DDD_dev,16886001,847,0.003150329925119877,1e-06,-0.025821336375316858,0.015576156499026784,0.09736841761331161
share_frac_sub,with,DDD_adv,16886001,847,0.003150329925119877,1e-06,0.02134483420061752,0.013780723993180664,0.12140801494818731
share_frac_sub,with,IPxUS_dev,16886001,847,0.003150329925119877,1e-06,0.005273421725067855,0.008340189145604075,0.5271971202270871
share_frac_sub,with,IPxUS_adv,16886001,847,0.003150329925119877,1e-06,-0.00332797607734492,0.011579535728602207,0.7738049035596781
share_frac_sub,with,IPxUS_chn,16886001,847,0.003150329925119877,1e-06,-0.14941647221396687,0.08651618195144584,0.08416138219782221
share_frac_sub,with,Dec_US_chn,16886001,847,0.003150329925119877,1e-06,-0.3671487378691404,0.08551781775068015,1.7608242849576072e-05
share_frac_sub,with,Adv_Dec_US,16886001,847,0.003150329925119877,1e-06,-0.14758170962367112,0.06867267332776691,0.031629627551075234
share_frac_sub,without,DDD_dev,16886001,847,0.003150329925119877,1e-06,-0.020564488169984994,0.013532521311260374,0.1286028264511221
share_frac_sub,without,DDD_adv,16886001,847,0.003150329925119877,1e-06,0.018022475862119296,0.0066578271315019385,0.006790231140351599
share_frac_sub,without,IPxUS_chn,16886001,847,0.003150329925119877,1e-06,-0.14920149916246975,0.0864349885119182,0.08431680216793147
share_frac_sub,without,Dec_US_chn,16886001,847,0.003150329925119877,1e-06,-0.3668622549327796,0.08549400999341013,1.778004456509663e-05
share_frac_sub,without,Adv_Dec_US,16886001,847,0.003150329925119877,1e-06,-0.1466850426296762,0.06913083542514427,0.033850604288070185
asinh_n_sub,with,DDD_dev,16886001,847,2.178252696990967,1e-06,0.0159539800657029,0.03540851970524341,0.6523002388717156
asinh_n_sub,with,DDD_adv,16886001,847,2.178252696990967,1e-06,-0.0083467429118035,0.01766458330416866,0.6365607593319873
asinh_n_sub,with,IPxUS_dev,16886001,847,2.178252696990967,1e-06,-0.010519059100745172,0.0262799938036334,0.6889586149813325
asinh_n_sub,with,IPxUS_adv,16886001,847,2.178252696990967,1e-06,0.0077511473491336256,0.011541842643462771,0.5018579188855554
asinh_n_sub,with,IPxUS_chn,16886001,847,2.178252696990967,1e-06,-0.11124193954966038,0.02432725782875489,4.814143002018767e-06
asinh_n_sub,with,Dec_US_chn,16886001,847,2.178252696990967,1e-06,-0.26908552533136804,0.09343872558573418,0.003979182822903438
asinh_n_sub,with,Adv_Dec_US,16886001,847,2.178252696990967,1e-06,-0.13207903562237708,0.07183184718220975,0.06595559846731103
